challenge_id,title,xp,difficulty,status
1,Zero Plastic,200,Hard,Draft
2,Cycle Challenge,100,Medium,Draft
3,Green Coding,100,Hard,Draft
4,Paperless Week,100,Hard,Draft
5,Carpool Month,200,Easy,Draft
6,Energy Saver,150,Easy,Completed
7,Water Saver,100,Medium,Draft
8,Waste Warrior,100,Hard,Active
9,Eco Quiz,100,Easy,Completed
10,Plant 10 Trees,100,Easy,Draft
11,Reusable Bottle,150,Easy,Completed
12,LED Switch,150,Easy,Draft
13,Public Transport,150,Easy,Draft
14,Office Cleanup,200,Medium,Completed
15,Earth Hour,100,Hard,Draft
16,Carbon Cut,150,Medium,Active
17,Green Commute,200,Hard,Draft
18,Recycle Hero,150,Hard,Draft
19,Clean Desk,200,Easy,Completed
20,Sustainability Sprint,200,Hard,Active
